text,label
text,label
What a great day!!! Looks like a dream.,positive
"I feel sorry, I miss you here at the sea beach.",positive
Why is everything going wrong today?,negative
I'm feeling a bit under the weather today.,negative
"I think I did okay on the test, but I'm not sure.",neutral
"The movie was just okay, not too great.",neutral
I got a promotion at work today!,positive
The food at that restaurant was terrible.,negative
It's just another regular day.,neutral
I'm so excited for the weekend trip!,positive
My car broke down on the way to work.,negative
I'm not sure how I feel about this new project.,neutral
She always knows how to cheer me up.,positive
I can't believe I failed the exam.,negative
"It's a cloudy day, nothing special.",neutral
The new cafe in town has the best coffee.,positive
I had a really bad headache this morning.,negative
I'm just relaxing and reading a book.,neutral
We had a wonderful time at the party.,positive
"I lost my wallet, and I don't know where it is.",negative
It's been an uneventful day.,neutral
I'm so proud of my little sister's achievements.,positive
I didn't like the service at the hotel.,negative
"Just finished my workout, feeling good.",positive
I missed the bus and had to walk home.,negative
Nothing much happening today.,neutral
I'm thrilled with my new job.,positive
I got stuck in traffic for hours.,negative
It's a pretty average day.,neutral
The sunrise this morning was breathtaking.,positive
I didn't get much sleep last night.,negative
"I'm just sitting here, thinking about life.",neutral
I received an unexpected gift from a friend.,positive
The weather is horrible today.,negative
I'm contemplating what to do next.,neutral
She gave me the best advice.,positive
I'm really disappointed with my results.,negative
It's a slow day at work.,neutral
I'm feeling very happy today.,positive
I had a flat tire on the way to work.,negative
Just another ordinary day.,neutral
I love spending time with my family.,positive
I'm feeling a bit down today.,negative
Nothing exciting is happening.,neutral
He surprised me with flowers!,positive
I can't find my keys anywhere.,negative
It's a boring day.,neutral
The view from the mountain was amazing.,positive
I forgot my homework at home.,negative
"I'm feeling okay, just tired.",neutral
She always makes me smile.,positive
I'm frustrated with my workload.,negative
It's just an ordinary day.,neutral
I'm ecstatic about my vacation plans.,positive
I had a rough day at the office.,negative
I'm just chilling at home.,neutral
I got a nice compliment today.,positive
I didn't enjoy the meal at all.,negative
I'm feeling pretty neutral about this.,neutral
I'm so grateful for your help.,positive
I had a terrible day at work.,negative
Nothing much to report today.,neutral
I love the new book I'm reading.,positive
I'm very upset about the situation.,negative
"I'm just here, waiting for the bus.",neutral
I got an unexpected bonus at work.,positive
I had a really bad day.,negative
It's a calm and quiet evening.,neutral
The concert was absolutely fantastic!,positive
I feel so alone right now.,negative
It's just a quiet day.,neutral
I'm really happy with my new phone.,positive
I lost an important document.,negative
I'm neither happy nor sad.,neutral
I'm overjoyed with the good news.,positive
I had a frustrating meeting.,negative
"I'm just sitting here, not much to do.",neutral
She makes my day brighter.,positive
I feel miserable today.,negative
Nothing special happening today.,neutral
I love my new shoes!,positive
I'm feeling very anxious today.,negative
"It's a regular day, nothing new.",neutral
I got a new puppy!,positive
I'm disappointed with the service.,negative
It's just another day.,neutral
I had a great time with friends.,positive
I'm angry about the delay.,negative
Just having a normal day.,neutral
The flowers in the garden are beautiful.,positive
I can't stand this heat.,negative
It's an uneventful day.,neutral
I love the new song by my favorite artist.,positive
I'm stressed out about the deadlines.,negative
It's just a calm day.,neutral
I'm so excited for the new opportunities.,positive
I'm unhappy with my performance.,negative
Nothing interesting happening.,neutral
I received a heartfelt letter from a friend.,positive
I missed an important call.,negative
I'm feeling indifferent today.,neutral
I had a wonderful dinner with family.,positive
I'm sad about the news.,negative
It's a lazy Sunday.,neutral
I'm thrilled with the new project.,positive
I had an argument with my friend.,negative
Just a regular day.,neutral
The kids made me a lovely card.,positive
I lost my favorite pen.,negative
I'm feeling okay today.,neutral
I won a small prize in a contest.,positive
I'm upset with how things turned out.,negative
It's a typical day.,neutral
I'm so grateful for my health.,positive
I'm annoyed by the noise outside.,negative
Nothing much going on.,neutral
I enjoyed a peaceful walk in the park.,positive
I'm worried about the future.,negative
It's a quiet afternoon.,neutral
I love the scent of these flowers.,positive
I'm frustrated with my internet connection.,negative
It's an ordinary evening.,neutral
I'm overjoyed with my new car.,positive
I had a bad experience at the store.,negative
Just taking it easy today.,neutral
I'm so proud of my team.,positive
I'm feeling really low today.,negative
It's a routine day.,neutral
I'm excited about the upcoming event.,positive
I had a stressful day.,negative
Nothing much happening right now.,neutral
I love how supportive my friends are.,positive
I'm disappointed with the outcome.,negative
It's a typical evening.,neutral
I'm grateful for the wonderful people in my life.,positive
I had a frustrating conversation.,negative
It's a calm morning.,neutral
I had an amazing time at the beach.,positive
I'm feeling very tired.,negative
Just another evening.,neutral
I received good news today.,positive
I had a bad fall.,negative
It's a slow morning.,neutral
I love the peaceful mornings.,positive
I'm upset with the current situation.,negative
Nothing new happening.,neutral
I had a delightful lunch with a friend.,positive
I'm feeling very irritated.,negative
Just a quiet morning.,neutral
I'm excited about my new hobby.,positive
I'm dissatisfied with the service.,negative
It's a usual day.,neutral
I love spending time in nature.,positive
I'm unhappy with the decision.,negative
Nothing much to talk about.,neutral
I had a joyful day with my family.,positive
I'm very stressed today.,negative
It's a normal afternoon.,neutral
I received a lovely gift.,positive
I'm feeling very anxious.,negative
Nothing special today.,neutral
I enjoyed a lovely dinner.,positive
I'm very unhappy right now.,negative
It's a regular evening.,neutral
I'm so grateful for my supportive friends.,positive
I'm feeling really sad today.,negative
Just an ordinary morning.,neutral
I had a great workout.,positive
I'm frustrated with the lack of progress.,negative
Nothing exciting going on.,neutral
I received a promotion at work.,positive
I'm feeling really low.,negative
It's an average day.,neutral
I had a fun day at the park.,positive
I'm unhappy with my job.,negative
It's a typical day at work.,neutral
I love how the flowers are blooming.,positive
I'm very disappointed.,negative
Nothing to report today.,neutral
I had a fantastic time with friends.,positive
I'm feeling very annoyed.,negative
It's a calm evening.,neutral
I received a beautiful gift from my partner.,positive
I'm feeling very sad.,negative
Just a quiet afternoon.,neutral
I enjoyed a peaceful afternoon.,positive
I'm frustrated with my workload.,negative
It's a normal day.,neutral
I'm excited about the new project.,positive
I had a bad day.,negative
Nothing special going on.,neutral
I love my new outfit.,positive
I'm very upset today.,negative
Just an ordinary day.,neutral
I had a wonderful time at the event.,positive
I'm feeling really down.,negative
It's a regular morning.,neutral
I received an unexpected compliment.,positive
I'm frustrated with my internet.,negative
It's a typical morning.,neutral
I love the smell of fresh coffee.,positive
I'm very unhappy with the service.,negative
Nothing much to say.,neutral
I had a great lunch with friends.,positive
I'm feeling very stressed.,negative
It's a usual afternoon.,neutral
I enjoyed a relaxing day.,positive
I'm very annoyed right now.,negative
Just another regular day.,neutral
I love my new hairstyle.,positive
I'm feeling really low today.,negative
It's an average morning.,neutral
I had a wonderful day with my family.,positive
I'm very disappointed today.,negative
Nothing special to report.,neutral
I received good feedback at work.,positive
I'm feeling very anxious today.,negative
Just another ordinary day.,neutral
I love the sunny weather.,positive
I'm unhappy with the service.,negative
It's a calm day.,neutral
I had a fantastic weekend.,positive
I'm feeling really down today.,negative
It's a typical morning at work.,neutral
I enjoyed a lovely walk in the park.,positive
I'm feeling very upset.,negative
Nothing new to talk about.,neutral
I had a great conversation with a friend.,positive
I'm feeling very anxious about the future.,negative
It's a quiet day.,neutral
I love my new watch.,positive
I'm feeling really sad today.,negative
Just another day.,neutral
I had a fun day at the beach.,positive
I'm very stressed out today.,negative
It's a calm afternoon.,neutral
I received a nice compliment from a colleague.,positive
I'm feeling very irritated.,negative
Nothing much going on today.,neutral
I love the peaceful evenings.,positive
I'm feeling very unhappy.,negative
It's a typical evening at home.,neutral
I had a fantastic time at the party.,positive
I'm feeling very down.,negative
Just a normal day.,neutral
I love my new shoes.,positive
I'm feeling really anxious today.,negative
It's an average evening.,neutral
I had a great dinner with friends.,positive
I'm very unhappy with the situation.,negative
Nothing special to mention.,neutral
I received a thoughtful gift from my partner.,positive
I'm feeling very stressed out today.,negative
Just a regular day.,neutral
I love the beautiful flowers in the garden.,positive
I'm feeling very sad today.,negative
It's a calm morning at work.,neutral
I enjoyed a delightful breakfast.,positive
I'm feeling very anxious right now.,negative
Nothing much happening.,neutral
I love spending time with my pet.,positive
I'm feeling very irritated today.,negative
It's a quiet morning at home.,neutral
I had a fantastic day at the event.,positive
I'm feeling really down today.,negative
Just an ordinary morning.,neutral
I love my new phone.,positive
I'm feeling very unhappy today.,negative
It's a typical day at work.,neutral
I enjoyed a peaceful evening.,positive
I'm feeling very stressed out right now.,negative
Nothing new to report.,neutral
I love the new book I'm reading.,positive
I'm feeling very anxious today.,negative
It's an average afternoon.,neutral
I had a wonderful lunch with a friend.,positive
I'm feeling very sad right now.,negative
Just a quiet day.,neutral
I love the sound of rain.,positive
I'm feeling very irritated today.,negative
It's a regular morning at home.,neutral
I had a great time at the park.,positive
I'm feeling very down today.,negative
Nothing special going on today.,neutral
