text,label
I love the new design of the website!,positive
The weather is nice today.,neutral
I'm really disappointed with the service.,negative
The movie was fantastic, I enjoyed every moment of it.,positive
It's just an average product.,neutral
I hate the traffic in this city.,negative
This is the best pizza I've ever had!,positive
The presentation was okay, but could be better.,neutral
I can't stand the noise from the construction.,negative
I'm thrilled with my new phone!,positive
The book was neither good nor bad.,neutral
I am very unhappy with the customer support.,negative
The restaurant ambiance is delightful.,positive
The meeting was productive.,neutral
I'm frustrated with the delays.,negative
I'm pleased with the final results.,positive
It's an ordinary day.,neutral
The project was a complete failure.,negative
I am satisfied with the service.,positive
The movie was mediocre.,neutral
I am disappointed in the quality of the product.,negative
I am excited about the upcoming holiday!,positive
It's an average performance.,neutral
The traffic is terrible this morning.,negative
I love spending time with my family.,positive
The event was uneventful.,neutral
The software has too many bugs.,negative
I am happy with the purchase.,positive
It's just another routine day.,neutral
The food was awful, I won't be coming back.,negative
I'm impressed with the new features.,positive
The experience was neither here nor there.,neutral
The room was dirty and unkempt.,negative
The sunset at the beach is breathtaking.,positive
The seminar was standard, nothing special.,neutral
I'm upset about the cancellation.,negative
The customer service is excellent.,positive
The game was average.,neutral
The product broke after one use, very disappointed.,negative
I'm ecstatic about my promotion!,positive
It's just a typical Monday.,neutral
The noise level is unbearable.,negative
The team did an outstanding job!,positive
The speech was so-so.,neutral
The delivery was late, very frustrating.,negative
The park is beautiful in the spring.,positive
The response was lukewarm.,neutral
The experience was horrible, never again.,negative
I'm overjoyed with the results!,positive
It's an indifferent situation.,neutral
The smell from the garbage is disgusting.,negative
I'm content with my current job.,positive
The lecture was just average.,neutral
The power outage is very annoying.,negative
The festival was a blast!,positive
The results were inconclusive.,neutral
The wait time is unacceptable.,negative
I'm proud of my team's performance.,positive
The food was nothing to write home about.,neutral
The stain on the carpet is horrible.,negative
I'm delighted with the new update.,positive
It's neither good nor bad.,neutral
The internet connection is terrible.,negative
I'm satisfied with my experience.,positive
The day was just ordinary.,neutral
The service was poor, very disappointed.,negative
I'm grateful for the support.,positive
The show was just okay.,neutral
The mess in the room is unacceptable.,negative
I'm pleased with the service.,positive
The weather is neither hot nor cold.,neutral
The traffic jam is infuriating.,negative
I'm excited about the new project!,positive
The response was indifferent.,neutral
The noise from the party is disturbing.,negative
I'm happy with the outcome.,positive
The talk was neither interesting nor boring.,neutral
The stain on the shirt is annoying.,negative
I'm content with my achievements.,positive
The lecture was mediocre.,neutral
The food poisoning experience was terrible.,negative
I'm thrilled with the progress!,positive
The feedback was neutral.,neutral
The customer service experience was terrible.,negative
I'm very pleased with the new design.,positive
The day was average.,neutral
The loud music is disturbing my sleep.,negative
I'm ecstatic about the new opportunities!,positive
The performance was ordinary.,neutral
The leak in the roof is very frustrating.,negative
I'm happy with the new arrangement.,positive
The meal was unremarkable.,neutral
The pollution levels are very concerning.,negative
I'm delighted with the new software.,positive
The response was average.,neutral
The damage to the car is upsetting.,negative
I'm satisfied with the final outcome.,positive
The results were neither here nor there.,neutral
The broken air conditioner is very annoying.,negative
I'm thrilled with the recognition!,positive
The experience was lackluster.,neutral
The customer service was abysmal.,negative
I'm grateful for the opportunity.,positive
The event was uneventful.,neutral
The situation is very disappointing.,negative
I'm ecstatic about the award!,positive
The outcome was ordinary.,neutral
The broken promise is very upsetting.,negative
I'm happy with the collaboration.,positive
The presentation was lackluster.,neutral
The long wait time is frustrating.,negative
I'm pleased with the support.,positive
The day was neither good nor bad.,neutral
The dirty restroom is unacceptable.,negative
I'm thrilled with the innovation!,positive
The feedback was unremarkable.,neutral
The broken appliance is very disappointing.,negative
I'm delighted with the customer service.,positive
The session was neither interesting nor dull.,neutral
The faulty product is very frustrating.,negative
I'm happy with the partnership.,positive
The lecture was lackluster.,neutral
The rude behavior is very upsetting.,negative
I'm content with the progress.,positive
The speech was ordinary.,neutral
The broken window is very annoying.,negative
I'm thrilled with the new feature!,positive
The result was indifferent.,neutral
The unpleasant smell is disturbing.,negative
I'm pleased with the outcome.,positive
The performance was average.,neutral
The dirty kitchen is unacceptable.,negative
I'm delighted with the results.,positive
The feedback was neither here nor there.,neutral
The broken elevator is very frustrating.,negative
I'm happy with the new update.,positive
The session was unremarkable.,neutral
The late delivery is very disappointing.,negative
I'm content with the new policies.,positive
The outcome was ordinary.,neutral
The rude customer service is unacceptable.,negative
I'm thrilled with the new design!,positive
The experience was neither interesting nor boring.,neutral
The broken chair is very annoying.,negative
I'm happy with the new arrangement.,positive
The performance was lackluster.,neutral
The noisy neighbors are very disturbing.,negative
I'm delighted with the new software.,positive
The day was neither good nor bad.,neutral
The faulty wiring is very concerning.,negative
I'm thrilled with the recognition!,positive
The response was ordinary.,neutral
The dirty bathroom is very upsetting.,negative
I'm content with the new features.,positive
The feedback was indifferent.,neutral
The broken promise is very disappointing.,negative
I'm pleased with the support.,positive
The lecture was neither here nor there.,neutral
The rude behavior is very frustrating.,negative
I'm delighted with the new project.,positive
The outcome was ordinary.,neutral
The dirty kitchen is very upsetting.,negative
I'm thrilled with the progress!,positive
The experience was unremarkable.,neutral
The late delivery is unacceptable.,negative
I'm content with the new policies.,positive
The result was neither good nor bad.,neutral
The rude customer service is very frustrating.,negative
I'm happy with the new design!,positive
The session was neither interesting nor boring.,neutral
The broken chair is very upsetting.,negative
I'm pleased with the new arrangement.,positive
The performance was ordinary.,neutral
The noisy neighbors are very annoying.,negative
I'm delighted with the new software.,positive
The day was neither good nor bad.,neutral
The faulty wiring is very concerning.,negative
I'm thrilled with the recognition!,positive
The response was indifferent.,neutral
The dirty bathroom is very upsetting.,negative
I'm content with the new features.,positive
The feedback was unremarkable.,neutral
The broken promise is very frustrating.,negative
I'm happy with the support.,positive
The lecture was neither here nor there.,neutral
The rude behavior is very upsetting.,negative
I'm thrilled with the new project!,positive
The outcome was ordinary.,neutral
The dirty kitchen is very frustrating.,negative
I'm delighted with the progress!,positive
The experience was indifferent.,neutral
The late delivery is very concerning.,negative
I'm content with the new policies.,positive
The result was neither good nor bad.,neutral
The rude customer service is very frustrating.,negative
I'm happy with the new design!,positive
The session was neither interesting nor boring.,neutral
The broken chair is very upsetting.,negative
I'm pleased with the new arrangement.,positive
The performance was ordinary.,neutral
The noisy neighbors are very annoying.,negative
I'm thrilled with the new software!,positive
The day was neither good nor bad.,neutral
The faulty wiring is very concerning.,negative
I'm content with the recognition!,positive
The response was indifferent.,neutral
The dirty bathroom is very upsetting.,negative
I'm delighted with the new features.,positive
The feedback was unremarkable.,neutral
The broken promise is very frustrating.,negative
I'm happy with the support.,positive
The lecture was neither here nor there.,neutral
The rude behavior is very upsetting.,negative
I'm thrilled with the new project!,positive
The outcome was ordinary.,neutral
The dirty kitchen is very frustrating.,negative
I'm delighted with the progress!,positive
The experience was indifferent.,neutral
The late delivery is very concerning.,negative
I'm content with the new policies.,positive
The result was neither good nor bad.,neutral
The rude customer service is very frustrating.,negative
I'm happy with the new design!,positive
The session was neither interesting nor boring.,neutral
The broken chair is very upsetting.,negative
I'm pleased with the new arrangement.,positive
The performance was ordinary.,neutral
The noisy neighbors are very annoying.,negative
I'm thrilled with the new software!,positive
The day was neither good nor bad.,neutral
The faulty wiring is very concerning.,negative
I'm content with the recognition!,positive
The response was indifferent.,neutral
The dirty bathroom is very upsetting.,negative
I'm delighted with the new features.,positive
The feedback was unremarkable.,neutral
The broken promise is very frustrating.,negative
I'm happy with the support.,positive
The lecture was neither here nor there.,neutral
The rude behavior is very upsetting.,negative
I'm thrilled with the new project!,positive
The outcome was ordinary.,neutral
The dirty kitchen is very frustrating.,negative
I'm delighted with the progress!,positive
The experience was indifferent.,neutral
The late delivery is very concerning.,negative
I'm content with the new policies.,positive
The result was neither good nor bad.,neutral
The rude customer service is very frustrating.,negative
I'm happy with the new design!,positive
The session was neither interesting nor boring.,neutral
The broken chair is very upsetting.,negative
I'm pleased with the new arrangement.,positive
The performance was ordinary.,neutral
The noisy neighbors are very annoying.,negative
I'm thrilled with the new software!,positive
The day was neither good nor bad.,neutral
The faulty wiring is very concerning.,negative
I'm content with the recognition!,positive
The response was indifferent.,neutral
The dirty bathroom is very upsetting.,negative
I'm delighted with the new features.,positive
The feedback was unremarkable.,neutral
